ID;OBJECTID,N,10,0;gz_id;start;start_ex;end_;end_ex;label;iglesia_cat;servido_por;categoria;cat_esp;cabildo;nombre;nombrehoy;santo;variantes;curato_generico;partido_generico;provincia_generica;region;pais;lat;lon;cert;metodo;fuente;last_edited_by;last_edited_date;es_parte_de;parcialidad;importancia
15;11610;1000008;1580;exact;9999;end;Valladolid;Sagrario;;Ciudad;Ciudad;Si;Valladolid;;;;Valladolid;Valladolid;Michoacan;NES;MEX;19,703889;-101,184722;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;2
16;11897;1000008;1545;exact;1579;exact;Valladolid;Curato;;Ciudad;Ciudad;Si;Valladolid;;;;Valladolid;Valladolid;Michoacan;NES;MEX;19,703889;-101,184722;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;6
17;14876;1000009;1540;exact;9999;end;Compostela;Curato;;Ciudad;Ciudad;s.d.;Compostela;Compostela;;;Compostela;Compostela;Guadalajara;GDJ;MEX;21,23789;-104,901177;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;5
18;6329;1000010;1596;exact;1778;exact;Monterrey;Curato;;Ciudad;Ciudad;s.d.;Monterrey;Monterrey;;;Monterrey;Monterrey;Nuevo Leon;GDJ;MEX;25,670971;-100,309982;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;3
19;8984;1000010;1779;exact;9999;end;Monterrey;Sagrario;;Ciudad;Ciudad;s.d.;Monterrey;Monterrey;;;Monterrey;Monterrey;Nuevo Leon;GDJ;MEX;25,670971;-100,309982;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;2
20;10576;1000010;1582;exact;1589;ca;San Luis Rey de Francia;Curato;;Villa;Villa;s.d.;San Luis Rey de Francia;Monterrey;;;Monterrey;Monterrey;Nuevo Leon;GDJ;MEX;25,670971;-100,309982;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;6
21;8872;1000011;1777;exact;9999;end;Linares;Curato;;Ciudad;Ciudad;s.d.;San Felipe de Linares;Linares;;;Linares;Linares NL;Nuevo Leon;GDJ;MEX;24,859681;-99,5684;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;4
22;11807;1000011;1715;exact;1776;exact;Linares;Curato;;Villa;Villa;s.d.;San Felipe de Linares;Linares;;;Linares;Linares NL;Nuevo Leon;GDJ;MEX;24,859681;-99,5684;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;5
23;602;1000012;1607;exact;1679;exact;Santa Fe;Curato;OFM;Villa;Presidio;Si;Santa Fe;Santa Fe;;;Santa Fe;Santa Fe;Nuevo Mexico;GDJ;USA;35,6875045;-105,9385061;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;6
24;3495;1000012;1692;exact;9999;end;Santa Fe;Curato;OFM;Villa;Presidio;Si;Santa Fe;Santa Fe;;;Santa Fe;Santa Fe;Nuevo Mexico;GDJ;USA;35,6875045;-105,9385061;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;3
25;704;1000013;1749;exact;9999;end;Santander;Curato;;Villa;Villa;s.d.;Santander;Santander Jimenez;;;Santander;Nuevo Santander;Nuevo Santander;GDJ;MEX;24,216753;-98,485176;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;5
26;4741;1000014;1531;exact;1534;exact;Antequera;Curato;;Ciudad;Ciudad;Si;Antequera;Oaxaca de Juarez;;;Antequera;Antequera;Oaxaca;NES;MEX;17,06971;-96,7189;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;6
27;9556;1000014;1535;exact;9999;end;Antequera;Sagrario;;Ciudad;Ciudad;Si;Antequera;Oaxaca de Juarez;;;Antequera;Antequera;Oaxaca;NES;MEX;17,06971;-96,7189;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;2
28;14360;1000015;1531;exact;9999;end;Puebla;Sagrario;;Ciudad;Ciudad;Si;Puebla de los Angeles;Puebla de Zaragoza;;;Puebla;Puebla;Puebla;NES;MEX;19,04259;-98,19804;Exacta;Geoservice/Satelite;gerhardNE;HGIS;19.01.2018;0;No;2
29;4837;1000016;1592;start;9999;end;San Luis Potosi;Curato;;Ciudad;Real de minas;Si;San Luis Potosi;San Luis Potosi;;;San Luis Potosi;San Luis Potosi;San Luis Potosi;NES;MEX;22,15153;-100,97581;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;2
30;1264;1000017;1768;exact;1782;exact;Arizpe;Mision cabecera;OFM;Poblacion;Villa;No;Arizpe;Arizpe;;;Arizpe;Sonora;Sonora-Sinaloa;GDJ;MEX;30,336025;-110,166305;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;6
31;5968;1000017;1646;exact;1767;exact;Arizpe;Mision cabecera;SJ;Poblacion;Villa;No;Arizpe;Arizpe;;;Arizpe;Sonora;Sonora-Sinaloa;GDJ;MEX;30,336025;-110,166305;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;6
32;11521;1000017;1783;exact;9999;end;Arizpe;Sagrario;Secular;Ciudad;Ciudad;No;Arizpe;Arizpe;;;Arizpe;Sonora;Sonora-Sinaloa;GDJ;MEX;30,336025;-110,166305;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;2
33;221;1000018;1785;exact;9999;end;Villahermosa;Curato;;Villa;Villa;Si;Villahermosa;Villahermosa;;;Villahermosa;Chontalapa;Tabasco;NES;MEX;17,99173;-92,92814;Exacta;Geoservice/Satelite;gerhardSE;HGIS;18.01.2018;0;No;4
34;5748;1000018;1677;exact;1784;exact;Villahermosa;Curato;;Poblacion;Villa;No;Villahermosa;Villahermosa;;;Villahermosa;Chontalapa;Tabasco;NES;MEX;17,99173;-92,92814;Exacta;Geoservice/Satelite;gerhardSE;HGIS;18.01.2018;0;No;4
35;6778;1000018;1564;exact;1676;exact;Villahermosa;Curato;;Villa;Villa;Si;Villahermosa;Villahermosa;;;Villahermosa;Chontalapa;Tabasco;NES;MEX;17,99173;-92,92814;Exacta;Geoservice/Satelite;gerhardSE;HGIS;18.01.2018;0;No;6
36;7747;1000019;1718;exact;9999;end;San Antonio;s.d.;;Fuerte;Presidio;No;San Antonio de Bexar;San Antonio;;;San Antonio;Texas;Texas;GDJ;USA;29,42457099;-98,49511192;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;3
37;6181;1000020;1111;start;1526;exact;Tlaxcala;Curato;;Pueblo;Pueblo de indios;Si;Tlaxcala;Tlaxcala de Xicohtencatl;;;Tlaxcala;Tlaxcala;Tlaxcala;NES;MEX;19,31705;-98,2381;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;4
38;7165;1000020;1535;exact;9999;end;Tlaxcala;Curato;;Ciudad;Ciudad;Si;Tlaxcala;Tlaxcala de Xicohtencatl;;;Tlaxcala;Tlaxcala;Tlaxcala;NES;MEX;19,31705;-98,2381;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;3
39;10127;1000020;1531;not_before;1534;exact;Tlaxcala;Curato;;Pueblo;Pueblo de indios;Si;Tlaxcala;Tlaxcala de Xicohtencatl;;;Tlaxcala;Tlaxcala;Tlaxcala;NES;MEX;19,31705;-98,2381;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;4
40;13519;1000020;1527;exact;1530;not_before;Tlaxcala;Sagrario;;Pueblo;Pueblo de indios;Si;Tlaxcala;Tlaxcala de Xicohtencatl;;;Tlaxcala;Tlaxcala;Tlaxcala;NES;MEX;19,31705;-98,2381;Exacta;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;4
41;1030;1000021;1599;exact;1606;exact;Veracruz;Curato;;Villa;Villa;Si;Nueva Veracruz;Veracruz;;;Veracruz;Veracruz Nueva;Veracruz;NES;MEX;19,193327;-96,137751;Buena;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;6
42;3193;1000021;1524;exact;1598;exact;Veracruz;Curato;;Villa;Villa;Si;Veracruz;;;;Veracruz;Antigua;Veracruz;NES;MEX;19,367041;-96,369019;Buena;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;6
43;7010;1000021;1519;exact;1523;exact;Veracruz;Curato;;Villa;Villa;Si;Villa Rica de la Veracruz;Veracruz;;;Veracruz;Veracruz Nueva;Veracruz;NES;MEX;19,193327;-96,137751;Buena;Geoservice/Satelite;gerhardNE;HGIS;18.01.2018;0;No;6
44;14364;1000021;1607;exact;9999;end;Veracruz;Curato;;Ciudad;Plaza;Si;Nueva Veracruz;Veracruz;;;Veracruz;Veracruz Nueva;Veracruz;NES;MEX;19,193327;-96,137751;Buena;Geoservice/Satelite;gerhardNE;HGIS;19.01.2018;0;No;2
45;1396;1000022;1542;exact;1560;exact;Merida;Curato;;Ciudad;Ciudad;Si;Merida;Merida;;;Merida;Merida;Yucatan;NES;MEX;20,966709;-89,623222;Exacta;Geoservice/Satelite;gerhardSE;HGIS;18.01.2018;0;No;6
46;6160;1000022;1561;exact;9999;end;Merida;Sagrario;;Ciudad;Ciudad;Si;Merida;Merida;;;Merida;Merida;Yucatan;NES;MEX;20,966709;-89,623222;Exacta;Geoservice/Satelite;gerhardSE;HGIS;18.01.2018;0;No;2
47;9406;1000023;1543;exact;9999;end;Valladolid;Curato;;Villa;Villa;Si;Valladolid;Valladolid;;;Valladolid;Villa de Valladolid;Yucatan;NES;MEX;20,66971626;-88,15940528;No localizado;No localizado;MP-Mexico_756;HGIS;18.01.2018;0;No;4
48;14404;1000023;1545;exact;9999;end;Valladolid;Curato;;Villa;Villa;Si;Valladolid;Valladolid;;;Valladolid;Villa de Valladolid;Yucatan;NES;MEX;20,68897;-88,20145;Exacta;Geoservice/Satelite;MP-Mexico_756;HGIS;19.01.2018;0;No;4
49;7155;1000024;1548;exact;9999;end;Zacatecas;Curato;;Ciudad;Real de minas;Si;Zacatecas;Zacatecas;;;Zacatecas;Zacatecas;Zacatecas;GDJ;MEX;22,7758;-102,57148;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;2
50;1627;1000025;1768;ca;1772;exact;Loreto;Mision capital;OFM;Pueblo;Pueblo de indios;s.d.;Loreto;Loreto Concho;;;Loreto;Baja Norte;California;GDJ;MEX;26,00964;-111,350853;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;3
51;11386;1000025;1768;ca;1808;hgis;Loreto;Mision capital;OP;Pueblo;Pueblo de indios;s.d.;Loreto;Loreto Concho;;;Loreto;Baja Norte;California;GDJ;MEX;26,00964;-111,350853;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;3
52;14992;1000025;1701;hgis;1767;exact;Loreto;Mision capital;SJ;Pueblo;Pueblo de indios;s.d.;Loreto;Loreto Concho;;;Loreto;Baja Norte;California;GDJ;MEX;26,01053;-111,34301;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;3
53;2674;1000026;1708;exact;9999;end;Batopilas;Curato;;Poblacion;Real de minas;s.d.;San Pedro Batopilas;;;;Batopilas;Batopilas;Durango;GDJ;MEX;27,026248;-107,739428;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;4
54;7912;1000027;1751;exact;9999;end;Cerro Gordo;Anexo;;Poblacion;"""Pueblo""";s.d.;Cerro Gordo;Villa Hidalgo;;;Santa Maria del Oro;Cerro Gordo;Durango;GDJ;MEX;26,248791;-104,914429;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;7
55;12911;1000027;1111;start;1750;exact;Cerro Gordo;Anexo;;Poblacion;Presidio;s.d.;Cerro Gordo;Villa Hidalgo;;;Santa Maria del Oro;Cerro Gordo;Durango;GDJ;MEX;26,248791;-104,914429;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;7
56;1288;1000028;1761;ca;9999;end;Sianori;Anexo;;Poblacion;Real de minas;s.d.;Sianori;;;;Topia;Topia;Durango;GDJ;MEX;25,2032;-106,7755;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;7
57;3814;1000028;1680;start;1760;ca;Sianori;Curato;;Poblacion;Real de minas;s.d.;Sianori;;;;Sianori;Topia;Durango;GDJ;MEX;25,2032;-106,7755;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;5
58;2556;1000029;1111;start;9999;end;Cienega de los Olivos;Anexo;;Poblacion;"""Pueblo""";s.d.;Cienega de los Olivos;Valle de Olivos;;;Huejotitan;Cienega de los Olivos;Durango;GDJ;MEX;27,2;-106,283333;Suficiente;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;7
59;12115;1000030;1752;exact;9999;end;Conchos;Anexo;;Poblacion;Poblacion;s.d.;San Francisco Conchos;;San Francisco;;San Bartolome;Conchos;Durango;GDJ;MEX;27,588333;-105,335278;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;10000763;Si;10
60;13099;1000030;1111;start;1751;exact;Conchos;Anexo;;Fuerte;Presidio;s.d.;San Francisco Conchos;;San Francisco;;San Bartolome;Conchos;Durango;GDJ;MEX;27,588333;-105,335278;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;10000763;Si;10
61;1910;1000031;1111;start;9999;end;Cuencame;Curato;;Poblacion;Real de minas;s.d.;San Antonio Cuencame;;;;Cuencame;Cuencame;Durango;GDJ;MEX;24,869985;-103,697968;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;4
62;7036;1000032;1688;exact;9999;end;Cusihuiriachi;Curato;;Poblacion;Real de minas;s.d.;Santa Rosa Cusihuiriachi;;Santa Rosa;;"Cusihuiriachi; Cosiguriachic";Cosihuiriachic;Durango;GDJ;MEX;28,24182792;-106,8373572;Suficiente;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;4
63;2660;1000033;1753;exact;1779;not_before;Guanacevi;Anexo;;Poblacion;Real de minas;s.d.;Guanacevi;;;;Zape;Guanacevi;Durango;GDJ;MEX;25,932659;-105,956528;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;7
64;2730;1000033;1111;start;1752;exact;Guanacevi;Curato;;Poblacion;Real de minas;s.d.;Guanacevi;;;;Guanacevi;Guanacevi;Durango;GDJ;MEX;25,932659;-105,956528;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;5
65;10423;1000033;1780;not_before;9999;end;Guanacevi;Curato;;Poblacion;Real de minas;s.d.;Guanacevi;;;;Guanacevi;Guanacevi;Durango;GDJ;MEX;25,932659;-105,956528;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;5
66;5355;1000034;1783;exact;9999;end;Guarisamey;Curato;;Pueblo;Pueblo de indios;s.d.;San Pedro Guarisamey;;San Pedro;;Guarisamey;Guarisamey;Durango;GDJ;MEX;24,129722;-105,891111;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;Si;10
67;8324;1000034;1111;start;1782;exact;Guarisamey;Curato;;Pueblo;Pueblo de indios;s.d.;San Pedro Guarisamey;;San Pedro;;Guarisamey;Guarisamey;Durango;GDJ;MEX;24,129722;-105,891111;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
68;15154;1000034;1783;exact;9999;end;Guarisamey;s.d.;;Poblacion;Real de minas;s.d.;Consolacion de Agua Caliente de Guarisamey;;San Pedro;Agua Caliente;Guarisamey;Guarisamey;Durango;GDJ;MEX;24,129722;-105,891111;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;8
69;3770;1000035;1598;ca;9999;end;Mapimi;Curato;;Poblacion;Real de minas;s.d.;Santiago Mapimi;;;;Mapimi;Mapimi;Durango;GDJ;MEX;25,833056;-103,847778;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;5
70;5101;1000036;1754;exact;9999;end;Mezquital;Curato;Secular;Pueblo;Pueblo de indios;s.d.;San Francisco Mezquital;;San Francisco;;Mezquital;Mezquital;Durango;GDJ;MEX;23,474167;-104,395556;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
71;8709;1000036;1111;start;1753;exact;Mezquital;Curato;OFM;Pueblo;Pueblo de indios;s.d.;San Francisco Mezquital;;San Francisco;;Mezquital;Mezquital;Durango;GDJ;MEX;23,474167;-104,395556;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
72;425;1000038;1753;exact;1786;exact;Papasquiaro;Curato;;Pueblo;Pueblo de indios;s.d.;Santiago Papasquiaro;;Santiago;;Papasquiaro;Papasquiaro;Durango;GDJ;MEX;25,045;-105,420278;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
73;3480;1000038;1111;start;1752;exact;Papasquiaro;Mision cabecera;SJ;Pueblo;Pueblo de indios;s.d.;Santiago Papasquiaro;;Santiago;;Papasquiaro;Papasquiaro;Durango;GDJ;MEX;25,045;-105,420278;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
74;15044;1000038;1787;exact;9999;end;Papasquiaro;Curato;;Villa;Villa;No;Santiago Papasquiaro;;Santiago;;Papasquiaro;Papasquiaro;Durango;GDJ;MEX;25,045;-105,420278;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;4
75;8590;1000039;1631;exact;9999;end;Parral;Curato;;Villa;Real de minas;Si;Parral;;;;Parral;Parral;Durango;GDJ;MEX;26,93301;-105,66316;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;3
76;6119;1000040;1111;start;9999;end;Parras;Curato;;Poblacion;"""Pueblo""";s.d.;Santa Maria Parras;;Santa Maria;;Parras;Parras;Durango;GDJ;MEX;25,440278;-102,1825;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;4
77;5107;1000041;1111;start;1754;not_after;Real del Oro;Anexo;;Poblacion;Real de minas;s.d.;Real de las Mercedes del Oro;Santa Maria del Oro;;;Inde;Real del Oro;Durango;GDJ;MEX;25,95413;-105,36771;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;7
78;9957;1000041;1755;not_after;9999;end;Real del Oro;Curato;;Poblacion;Real de minas;s.d.;Real de las Mercedes del Oro;Santa Maria del Oro;;;Real del Oro;Real del Oro;Durango;GDJ;MEX;25,95413;-105,36771;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;5
79;487;1000042;1577;exact;9999;end;Saltillo;Curato;;Villa;Villa;Si;Saltillo;;;;Saltillo;Saltillo;Durango;GDJ;MEX;25,42158;-100,99961;Exacta;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;5
80;11136;1000043;1111;start;9999;end;San Gregorio;Curato;;Pueblo;Pueblo de indios;s.d.;San Gregorio de Bozas;;;;San Gregorio;San Andres de la Sierra;Durango;GDJ;MEX;24,840556;-106,200833;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;6
81;11443;1000044;1111;exact;9999;end;Valle de San Buenaventura;Curato;;Poblacion;Valle;s.d.;Valle de San Buenaventura;;;;San Buenaventura;San Buenaventura;Durango;GDJ;MEX;29,8432;-107,4565;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;4
82;984;1000045;1756;ca;9999;end;San Juan del Rio;Curato;Secular;Poblacion;"""Pueblo""";s.d.;San Juan del Rio;;;;San Juan del Rio;San Juan del Rio;Durango;GDJ;MEX;24,78405;-104,470261;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;4
83;11293;1000045;1111;start;1755;ca;San Juan del Rio;Curato;OFM;Poblacion;"""Pueblo""";s.d.;San Juan del Rio;;;;San Juan del Rio;San Juan del Rio;Durango;GDJ;MEX;24,78405;-104,470261;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;4
84;5114;1000046;1564;exact;9999;end;Santa Barbara;Curato;;Villa;Real de minas;No;Santa Barbara;;;;Santa Barbara;Santa Barbara DU;Durango;GDJ;MEX;26,803909;-105,819168;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;5
85;13164;1000047;1572;exact;9999;end;Valle de San Bartolome;Curato;;Poblacion;Valle;s.d.;valle de San Bartolome;Valle de Allende;;;valle de San Bartolome;valle de San Bartolome;Durango;GDJ;MEX;26,93745;-105,393738;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;4
86;6750;1000048;1111;start;1790;not_before;Acaponeta;Curato;OFM;Pueblo;Pueblo de indios;s.d.;Asuncion Acaponeta;;Asuncion;;Acaponeta;Acaponeta;Guadalajara;GDJ;MEX;22,492222;-105,360556;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
87;8204;1000048;1791;not_before;9999;end;Acaponeta;Curato;Secular;Pueblo;Pueblo de indios;s.d.;Asuncion Acaponeta;;Asuncion;;Acaponeta;Acaponeta;Guadalajara;GDJ;MEX;22,492222;-105,360556;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
88;4103;1000049;1800;ca;9999;end;Ahuacatlan;Curato;Secular;Pueblo;Pueblo de indios;s.d.;San Juan Evangelista Ahuacatlan;;San Juan Evangelista;;Ahuacatlan;Ahuacatlan;Guadalajara;GDJ;MEX;21,054167;-104,484167;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
89;7276;1000049;1111;start;1799;ca;Ahuacatlan;Curato;OFM;Pueblo;Pueblo de indios;s.d.;San Juan Evangelista Ahuacatlan;;San Juan Evangelista;;Jala;Ahuacatlan;Guadalajara;GDJ;MEX;21,054167;-104,484167;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
90;1228;1000050;1800;not_after;9999;end;Autlan;Curato;Secular;Pueblo;Pueblo de indios;s.d.;San Salvador Autlan;;San Salvador;;Autlan;Autlan;Guadalajara;GDJ;MEX;19,770833;-104,369444;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
91;14901;1000050;1111;start;1799;not_after;Autlan;Curato;OFM;Pueblo;Pueblo de indios;s.d.;San Salvador Autlan;;San Salvador;;Autlan;Autlan;Guadalajara;GDJ;MEX;19,770833;-104,369444;Buena;Geoservice/Satelite;tanck;HGIS;18.01.2018;0;No;5
92;8102;1000051;1739;exact;1747;exact;Bolaños;s.d.;;Poblacion;Mineral;s.d.;San Miguel Bolaños;;;;;Bolanos;Nayarit-Colotlan;GDJ;MEX;21,831101;-103,780998;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;8
93;10718;1000051;1753;exact;9999;end;Bolaños;Curato;;Poblacion;Real de minas;s.d.;San Antonio Bolaños;;;;Bolaños;Bolanos;Nayarit-Colotlan;GDJ;MEX;21,831101;-103,780998;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;4
94;10729;1000051;1748;exact;1752;exact;Bolaños;s.d.;;Poblacion;Real de minas;s.d.;San Antonio Bolaños;;;;;Bolanos;Nayarit-Colotlan;GDJ;MEX;21,831101;-103,780998;Buena;Geoservice/Satelite;gerhard-north;HGIS;18.01.2018;0;No;7
